,all_ratio,genre
5729,91%,Strategy
5738,49%,Strategy
5741,97%,Strategy
5747,76%,Strategy
5750,97%,Strategy
5751,95%,Strategy
5756,66%,Strategy
5759,69%,Strategy
5760,72%,Strategy
5763,85%,Strategy
5772,80%,Strategy
5779,87%,Strategy
5789,93%,Strategy
5793,62%,Strategy
5796,84%,Strategy
5804,100%,Strategy
5810,93%,Strategy
5815,68%,Strategy
5819,62%,Strategy
5823,40%,Strategy
5826,75%,Strategy
5827,64%,Strategy
5845,86%,Strategy
5859,81%,Strategy
5861,23%,Strategy
5865,64%,Strategy
5868,43%,Strategy
5869,94%,Strategy
5892,93%,Strategy
5897,87%,Strategy
5898,58%,Strategy
5904,79%,Strategy
5907,17%,Strategy
5911,100%,Strategy
5932,47%,Strategy
5935,76%,Strategy
5936,96%,Strategy
5945,74%,Strategy
5946,81%,Strategy
5948,76%,Strategy
5951,86%,Strategy
5952,28%,Strategy
5953,57%,Strategy
5956,65%,Strategy
5963,76%,Strategy
5972,60%,Strategy
5978,39%,Strategy
5984,57%,Strategy
5985,88%,Strategy
5991,100%,Strategy
5999,67%,Strategy
6004,34%,Strategy
6012,61%,Strategy
6014,51%,Strategy
6022,74%,Strategy
6026,82%,Strategy
6027,50%,Strategy
6032,91%,Strategy
6039,72%,Strategy
6042,90%,Strategy
6053,100%,Strategy
6056,100%,Strategy
6058,83%,Strategy
6075,74%,Strategy
6082,61%,Strategy
6098,84%,Strategy
6099,48%,Strategy
6100,82%,Strategy
6121,88%,Strategy
6126,45%,Strategy
6127,67%,Strategy
6138,72%,Strategy
6146,58%,Strategy
6148,80%,Strategy
6150,86%,Strategy
6153,80%,Strategy
6161,96%,Strategy
6165,80%,Strategy
6169,95%,Strategy
6171,56%,Strategy
6176,68%,Strategy
6181,76%,Strategy
6185,94%,Strategy
6187,36%,Strategy
6188,75%,Strategy
6189,72%,Strategy
6206,77%,Strategy
6212,60%,Strategy
6213,60%,Strategy
6226,84%,Strategy
6244,90%,Strategy
6253,72%,Strategy
6262,84%,Strategy
6271,85%,Strategy
6272,83%,Strategy
6274,68%,Strategy
6276,79%,Strategy
6279,100%,Strategy
6280,83%,Strategy
6290,98%,Strategy
6304,60%,Strategy
6311,70%,Strategy
6316,78%,Strategy
6326,90%,Strategy
6327,100%,Strategy
6328,77%,Strategy
6329,80%,Strategy
6337,59%,Strategy
6340,61%,Strategy
6342,75%,Strategy
6345,77%,Strategy
6371,72%,Strategy
6380,100%,Strategy
6384,78%,Strategy
6389,87%,Strategy
6391,81%,Strategy
6392,90%,Strategy
6393,100%,Strategy
6394,52%,Strategy
6396,90%,Strategy
6406,72%,Strategy
6424,50%,Strategy
6433,100%,Strategy
6434,26%,Strategy
6450,78%,Strategy
6457,100%,Strategy
6470,66%,Strategy
6472,83%,Strategy
6479,70%,Strategy
6483,90%,Strategy
6497,100%,Strategy
6524,100%,Strategy
6527,86%,Strategy
6529,60%,Strategy
6532,95%,Strategy
6542,92%,Strategy
6544,100%,Strategy
6546,70%,Strategy
6547,66%,Strategy
6553,71%,Strategy
6558,100%,Strategy
6560,41%,Strategy
6567,30%,Strategy
6576,46%,Strategy
6583,45%,Strategy
6587,52%,Strategy
6590,0%,Strategy
6593,50%,Strategy
6598,43%,Strategy
6605,66%,Strategy
6610,75%,Strategy
6613,57%,Strategy
6627,93%,Strategy
6628,62%,Strategy
6632,69%,Strategy
6633,81%,Strategy
6640,100%,Strategy
6644,23%,Strategy
6645,92%,Strategy
6664,100%,Strategy
6668,55%,Strategy
6697,100%,Strategy
6706,64%,Strategy
6722,86%,Strategy
6723,75%,Strategy
6726,15%,Strategy
6736,80%,Strategy
6754,73%,Strategy
6763,97%,Strategy
6773,39%,Strategy
6787,84%,Strategy
6788,93%,Strategy
6790,78%,Strategy
6794,40%,Strategy
6799,70%,Strategy
6800,88%,Strategy
6803,87%,Strategy
6807,100%,Strategy
6808,93%,Strategy
6814,76%,Strategy
6820,95%,Strategy
6822,69%,Strategy
6852,80%,Strategy
6855,92%,Strategy
6862,92%,Strategy
6863,100%,Strategy
6867,100%,Strategy
6870,60%,Strategy
6871,65%,Strategy
6879,100%,Strategy
6888,62%,Strategy
6891,85%,Strategy
6905,71%,Strategy
6915,54%,Strategy
6925,81%,Strategy
6932,78%,Strategy
6935,100%,Strategy
6952,54%,Strategy
6961,56%,Strategy
6967,53%,Strategy
6972,83%,Strategy
6983,86%,Strategy
6987,75%,Strategy
6991,73%,Strategy
6997,89%,Strategy
7008,58%,Strategy
7013,81%,Strategy
7020,90%,Strategy
7026,58%,Strategy
7029,100%,Strategy
7048,85%,Strategy
7057,53%,Strategy
7071,80%,Strategy
7077,79%,Strategy
7080,83%,Strategy
7085,82%,Strategy
7088,20%,Strategy
7090,66%,Strategy
7093,91%,Strategy
7098,74%,Strategy
7103,68%,Strategy
7109,34%,Strategy
7110,53%,Strategy
7112,58%,Strategy
7120,96%,Strategy
7129,86%,Strategy
7132,70%,Strategy
7135,77%,Strategy
7137,91%,Strategy
7138,46%,Strategy
7139,37%,Strategy
7153,78%,Strategy
7162,73%,Strategy
7164,76%,Strategy
7174,90%,Strategy
7176,93%,Strategy
7188,63%,Strategy
7200,66%,Strategy
7216,83%,Strategy
7233,47%,Strategy
7242,60%,Strategy
