,all_ratio,genre
4845,89%,Indie
4848,83%,Indie
4851,45%,Indie
4854,72%,Indie
4858,90%,Indie
4861,96%,Indie
4862,75%,Indie
4865,87%,Indie
4869,100%,Indie
4873,54%,Indie
4874,90%,Indie
4877,92%,Indie
4878,100%,Indie
4880,90%,Indie
4882,81%,Indie
4884,95%,Indie
4887,75%,Indie
4890,72%,Indie
4892,83%,Indie
4893,90%,Indie
4899,100%,Indie
4900,85%,Indie
4906,80%,Indie
4908,100%,Indie
4911,100%,Indie
4918,100%,Indie
4919,100%,Indie
4925,100%,Indie
4928,95%,Indie
4931,86%,Indie
4933,94%,Indie
4939,84%,Indie
4942,80%,Indie
4943,72%,Indie
4946,100%,Indie
4950,95%,Indie
4958,90%,Indie
4959,100%,Indie
4960,32%,Indie
4962,81%,Indie
4965,84%,Indie
4972,84%,Indie
4973,19%,Indie
4974,56%,Indie
4989,92%,Indie
4990,80%,Indie
4991,76%,Indie
4993,74%,Indie
4998,96%,Indie
5000,81%,Indie
5003,56%,Indie
5004,85%,Indie
5016,27%,Indie
5017,60%,Indie
5023,76%,Indie
5025,74%,Indie
5034,95%,Indie
5040,40%,Indie
5045,100%,Indie
5046,87%,Indie
5047,90%,Indie
5048,84%,Indie
5053,96%,Indie
5056,92%,Indie
5057,100%,Indie
5060,92%,Indie
5064,80%,Indie
5065,69%,Indie
5066,81%,Indie
5071,38%,Indie
