,title,all_ratio,genres,specs,platform,developer,positive_review,positive_review_rank
821,Super Sanctum TD,87% of the 882 user reviews for this game are positive.,"['Casual', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Mac,Windows,","Coffee Stain StudiosPublisher:Coffee Stain PublishingRelease Date: May 9, 2013",767.0,119
94,Tom Clancy's Splinter Cell®,85% of the 902 user reviews for this game are positive.,['Action'],['Single-player'],"Windows,","UbisoftPublisher:UbisoftRelease Date: Feb 18, 2003",767.0,119
29032,Off-Peak,85% of the 901 user reviews for this game are positive.,"['Adventure', 'Free to Play', 'Indie']","['Single-player', 'Steam Achievements', 'Partial Controller Support']","Linux,Mac,Windows,","Cosmo DPublisher:Cosmo D StudiosRelease Date: Feb 15, 2015",766.0,121
5505,Minion Masters,79% of the 969 user reviews for this game are positive.,"['Action', 'Indie', 'Strategy', 'Early Access']","['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud']","Windows,","BetaDwarfPublisher:BetaDwarfRelease Date: Dec 2, 2016",766.0,121
4006,,93% of the 824 user reviews for this game are positive.,,"['Single-player', 'HTC Vive', 'Tracked Motion Controllers', 'Standing', 'Room-Scale']","Windows,",,766.0,121
13368,Mega Man 11 / ロックマン11 運命の歯車!!,90% of the 850 user reviews for this game are positive.,['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Windows,","CAPCOM CO., LTD.Publisher:CAPCOM CO., LTD.Release Date: Oct 2, 2018",765.0,124
34970,Echoes+,92% of the 832 user reviews for this game are positive.,"['Action', 'Free to Play', 'Indie']","['Single-player', 'Full controller support']","Mac,Windows,","Binary Zoo, The Game CreatorsPublisher:The Game CreatorsRelease Date: Jan 15, 2015",765.0,124
37753,Puzzle Agent,87% of the 877 user reviews for this game are positive.,"['Adventure', 'Casual']",['Single-player'],"Mac,Windows,",Telltale GamesPublisher:Telltale GamesRelease Date: Jul 2010,763.0,126
36460,Neverwinter,"77% of the 22,995 user reviews for this game are positive.","['Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']","['Multi-player', 'MMO', 'Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Includes level editor']","Windows,","Cryptic StudiosPublisher:Perfect World EntertainmentRelease Date: Dec 5, 2013",762.0,127
34395,Shantae and the Pirate's Curse,95% of the 802 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","WayForwardPublisher:WayForwardRelease Date: Apr 23, 2015",762.0,127
259,eversion,91% of the 836 user reviews for this game are positive.,['Indie'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards']","Linux,Mac,Windows,","Zaratustra ProductionsPublisher:Zaratustra ProductionsRelease Date: Jun 7, 2010",761.0,129
17590,Judgment: Apocalypse Survival Simulation,83% of the 915 user reviews for this game are positive.,"['Indie', 'RPG', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","Windows,","SuncrashPublisher:SuncrashRelease Date: May 3, 2018",759.0,130
