,all_ratio,developer
824,71%,Uppercut Games Pty Ltd
825,97%,Artifex Mundi
826,78%,"Alawar, Mirball Games"
827,74%,Owl Cave
828,80%,"Michael Todd Games, Yazar Media Group LLC"
829,69%,bumblebee
830,75%,DL Softworks
831,96%,InterAction studios
832,95%,Suspicious Developments
833,72%,Eclipse Games
834,76%,Puuba
835,87%,Darkling Room
836,80%,Schell Games
837,6%,United Independent Entertainment GmbH
838,82%,SFB Games
839,91%,"SkyBox Labs, Big Huge Games"
840,88%,Droqen
841,69%,TML-Studios
842,74%,Shorebound Studios
843,86%,Passtech Games
844,86%,NeocoreGames
845,78%,Hammer Labs
846,92%,Juicy Beast Studio
847,43%,Lesta Studio
848,68%,Curious Panda Games
849,71%,Spiders Studio
850,67%,Lost Decade Games
851,92%,MURA Interactive
852,55%,North Side
853,87%,Goldhawk Interactive
854,78%,XGen Studios
855,75%,tequibo
856,89%,Peter Cleary
857,74%,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)"
858,78%,Rebellion
859,96%,Rebellion
860,58%,Rebellion
861,96%,Rebellion
862,79%,Rebellion
863,80%,Rebellion
864,90%,Larian Studios
865,72%,MEGAFUZZ
866,90%,SCS Software
867,73%,North of Earth
868,94%,SCS Software
869,39%,MADia Entertainment
870,95%,SCS Software
871,42%,Reality Twist GmbH
872,84%,Morgopolis Studios
873,62%,"Kritzelkratz 3000, JoWooD"
874,70%,ClockStone
875,51%,Elder Games
876,71%,Reload Game Studio
877,64%,Vivid Games S.A.
878,93%,Smartly Dressed Games
879,65%,Gentleman Squid Studio
880,57%,DarkElite
881,92%,Game Dev Castle
882,93%,Endless Loop Studios
883,71%,Hailstorm Games
884,69%,3f Interactive
885,88%,Daedalic Entertainment
886,85%,Crunching Koalas
887,55%,Just A Pixel Ltd.
888,96%,BlueEagle Productions
889,80%,Artem Kotov
890,42%,Le Cortex
891,60%,Crimson Cow
892,21%,Dream Up
893,63%,Team 6 Studios
894,50%,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)"
895,59%,Autumn Moon
896,91%,SCS Software
897,70%,Hyper Hippo Games
898,50%,Milestone S.r.l.
899,43%,Paradox Development Studio
900,65%,Paradox Development Studio
901,69%,Lucky Frame
902,73%,"Elias Viglione, Jussi Kukkonen"
903,79%,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)"
904,67%,"Max Gaming Technologies, LLC"
905,95%,"FromSoftware, Inc"
906,75%,Isotope 244 LLC
907,95%,Apparition Games
908,57%,RuneStorm
909,93%,Retro Army Limited
910,96%,Eugen Systems
911,60%,Haemimont Games
912,75%,Targem Games
913,76%,Rampant Games
914,84%,Dan Walters
915,66%,Artifex Mundi
916,66%,N94Games
917,71%,Winter Wolves
918,85%,AlphaNuts
919,48%,VooFoo Studios
920,50%,RailSimulator.com
921,24%,"QUByte Interactive, Commotion Games Pty Ltd"
922,75%,Filament Games
923,16%,Narrow Monolith
924,81%,Sinclair Strange
925,97%,Free Lives
926,83%,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)"
927,95%,Little Worlds Interactive
928,64%,
929,83%,Spry Fox LLC
930,49%,SuckerFree Games
931,57%,"The Quinnspiracy, Patrick Lindsey, Isaac Schankler"
932,40%,Games Hut
933,86%,Pictopotamus
934,82%,Rebellion
935,84%,Big Pixel Studios
936,60%,Teyon
937,84%,Duaik Entretenimento
938,33%,Freedom Factory
939,48%,GamePrix
940,63%,Idigicon
941,83%,VR Designs
942,94%,Idigicon
943,42%,Idigicon
944,67%,Enitvare
945,66%,Haruneko Entertainment
946,38%,Wonderful Tree Studio
947,90%,"RichMakeGame, Colin Northway"
948,24%,Net Games Laboratory
949,90%,Capybara Games
950,57%,GammaLateral
951,96%,SkyGoblin
952,93%,4A Games
953,91%,4A Games
954,66%,Gabriel Priske
955,89%,"FromSoftware, Inc"
956,86%,"KOEI TECMO GAMES CO., LTD."
957,82%,Force Of Habit
958,41%,The Indie Forge
