,all_ratio,developer
959,59%,Double Fine Productions
960,69%,4HEAD Studios
961,89%,Ndemic Creations
962,58%,
963,70%,Gugila
964,80%,Wyrmbyte
965,20%,Arkavi Studios
966,97%,VisualArts/Key
967,80%,IDHAS Studios
968,85%,CBE Software s.r.o.
969,31%,Lionhead Studios
970,34%,Rail Slave Games
971,91%,Slitherine Ltd.
972,93%,"Ian MacLarty, Jon Kerney"
973,76%,URSE Games
974,80%,ClockStone
975,100%,Lucid Games Ltd
976,88%,Shortbreak Studios s.c.
977,93%,"Traveller's Tales, Feral Interactive (Mac)"
978,95%,"Traveller's Tales, Feral Interactive (Mac)"
979,64%,Fugazo
980,85%,PGN Inc
981,83%,Rebellion
982,89%,Harebrained Schemes
983,68%,Dovetail Games
984,92%,No Goblin
985,81%,AMPLITUDE Studios
986,76%,Ankama Studio
987,61%,Starfish-SD Inc
988,91%,
989,89%,Stainless Games Ltd
990,87%,Proxy Studios
991,92%,"Turtle Cream, PokPoong Games"
992,52%,Orion Games
993,90%,Tasty Stewdios LLC
994,65%,SDP Games
995,83%,Aldorlea Games
996,90%,OVERDRIVE
997,90%,Tasty Stewdios LLC
998,75%,Infinitap Games
999,70%,Little Green Men Games
1000,87%,"Sujin Ri, Marcos Arroyo, Seona Lee, Somi Lee, Sohyeon Jeon"
1001,67%,Phigames
1002,79%,Housemarque
1003,91%,Breakfall
1004,69%,800 North and Digital Ranch
1005,74%,Sarepta studio
1006,70%,WaterMelon
1007,97%,"Monolith Productions, Inc., Feral Interactive (Mac), Feral Interactive (Linux)"
1008,67%,WaterMelon
1009,91%,Frogwares
1010,85%,"FromSoftware, Inc"
1011,94%,"CyberConnect2 Co., Ltd."
1012,72%,Final Boss Entertainment
1013,63%,Coreplay
1014,94%,Allegorithmic
1015,69%,Vine
1016,93%,Lab Zero Games
1017,25%,Studio V5
1018,92%,BlueLine Games
1019,88%,SCS Software
1020,89%,Minor Key Games
1021,76%,Jesse Makkonen
1022,69%,Reload Games Studio
1023,50%,Brightside Games
1024,31%,Narrow Monolith
1025,75%,virtualRailroads
1026,91%,SCS Software
1027,86%,Experimental Gamer Studios
1028,75%,"Stefan Kraus, Timo Armbruster"
1029,50%,URSE Games
1030,88%,"Monolith Productions, Inc."
1031,50%,Artefacts Studio
1032,69%,Chicken in The Corn
1033,92%,Croteam
1034,66%,"MicroProse Software, Inc."
1035,94%,"MicroProse Software, Inc"
1036,92%,MPS Labs
1037,42%,"MicroProse Software, Inc"
1038,80%,Dovetail Games
1039,71%,Digerati Distribution
1040,68%,Jetdogs Studios
1041,58%,Eko Software
1042,86%,DoubleDutch Games
1043,93%,"Monolith Productions, Inc., Feral Interactive (Mac), Feral Interactive (Linux)"
1044,81%,Eko Software
1045,72%,"Monolith Productions, Inc., Feral Interactive (Mac), Feral Interactive (Linux)"
1046,87%,Proton Studio Inc
1047,64%,Secret Base
1048,91%,Samurai Punk
1049,73%,Sunside Inc
1050,62%,"nalothchris, swanee734"
1051,60%,Midnart
1052,8%,N-Game Studios
1053,81%,Freehold Games
1054,95%,Cross Eaglet
1055,87%,SCS Software
1056,46%,Orion Games
1057,52%,Lexis Numerique
1058,57%,"Expansive Worlds, Avalanche Studios"
1059,54%,"Expansive Worlds, Avalanche Studios"
1060,92%,Raymond Doerr
1061,75%,URSE Games
1062,68%,Krealit
1063,98%,No More Room in Hell Team
1064,76%,MiniVisions
1065,78%,Wayward Design
1066,84%,"MicroProse Software, Inc."
1067,87%,"MicroProse Software, Inc."
1068,83%,Tin Man Games
1069,60%,Epiphany Games
1070,80%,Subscience Studios
1071,78%,Polar Motion
1072,52%,Faultline Games
1073,81%,OKAM Studio
1074,68%,Ageod
1075,9%,Netmin Games
1076,43%,Sumo Digital Ltd
1077,29%,Four Lights
1078,62%,Mind Crew
1079,60%,Forever Entertainment S. A.
1080,60%,Nine Tales Digital
1081,90%,Scott Cawthon
1082,72%,Ansimuz Games
1083,68%,"Good Games, Creobit"
1084,91%,SEGA
1085,76%,ONE MORE LEVEL
1086,80%,Leadwerks Software
1087,73%,Full Control Studios
1088,77%,Moondrop
1089,85%,Frima Studio
1090,90%,Naiad Entertainment LLC
1091,75%,Nexus Game Studios
1092,67%,Timeslip Softworks
1093,37%,"Monolith Productions, Inc., Feral Interactive (Mac), Feral Interactive (Linux)"
1094,81%,"TT Games, Feral Interactive (Mac)"
1095,87%,"TT Games, Feral Interactive (Mac)"
1096,80%,Lostwood
1097,91%,Ninja Kiwi
1098,53%,Slav Pankratov
1099,95%,Soviet Games
1100,89%,WildTangent
1101,18%,"Umix Studios, Cyanide Studio"
1102,100%,Sector3 Studios
1103,30%,YFYX GAMES
1104,40%,Dovetail Games
1105,60%,Games Farm
1106,69%,CREATIVE ASSEMBLYFranchise:Total War
1107,96%,Holotech Studios
1108,81%,773
1109,77%,"Romenics, Artaani, Riya"
1110,67%,VIS-Games
1111,30%,Milestone S.r.l.
1112,91%,On Target Simulations
1113,85%,Fayju
1114,86%,The Game Creators
1115,51%,immersionFX
1116,21%,Badland Studio
1117,52%,Mykhail Konokh
1118,34%,251 Games
1119,100%,Coilworks
1120,95%,NEKO WORKs
1121,75%,Fly System
1122,46%,Strike Games
1123,100%,Orange_Juice
1124,20%,Kylotonn Entertainment
1125,85%,Grynsoft
1126,19%,Crafty Studios
1127,31%,Earthworm Games
1128,66%,Coffee Stain Studios
1129,84%,Strides Interactive
1130,9%,Frost Earth
1131,94%,ALICE IN DISSONANCE
1132,57%,"Subaltern Games, LLC"
1133,31%,"Infotread, LLC"
1134,90%,Sharpened Edge Studios
1135,47%,Holotech Studios
1136,89%,State of Play Games
1137,85%,Darius Bode
1138,58%,"Ratz 'N' Godz, Storybird Games"
1139,81%,Pixeljam
1140,72%,PostMod Softworks
1141,51%,Alternative Software Ltd
1142,67%,Milestone S.r.l.
1143,80%,JIW-Games
1144,77%,Cateia Games
1145,83%,Studio Bean
1146,48%,"Monolith Productions, Inc., Feral Interactive (Mac), Feral Interactive (Linux)"
1147,74%,"Monolith Productions, Inc., Feral Interactive (Mac), Feral Interactive (Linux)"
1148,68%,Cubic Pie
1149,90%,Adventurepro Games LLC
1150,31%,KinifiGames LLC
1151,75%,Chessbase
1152,84%,Great War Team
1153,87%,Giants Software
1154,80%,Big Ant Studios
1155,78%,Dylan Loney
1156,86%,SITER SKAIN
1157,91%,SITER SKAIN
1158,82%,"SNK CORPORATION, Code Mystics"
1159,59%,"Monolith Productions, Inc., Feral Interactive (Mac), Feral Interactive (Linux)"
1160,86%,Green Lava Studios
1161,72%,PolarityFlow
1162,70%,NEXT-SOFT+
1163,48%,Trese Brothers
1164,21%,Eddy &amp; Gary &amp; Friends
1165,71%,Haemimont Games
1166,98%,Breakfall
1167,100%,Ronimo Games
1168,90%,Winged Cloud
1169,71%,"BadFly Interactive, a.s."
1170,73%,"Sujin Ri, Yunjeong Yun, Hyein Go, Minsu Ock, Marcos Arroyo, Seona Lee, Sohyeon Jeon"
1171,93%,"Sujin Ri, Yunjeong Yun, Hyein Go, Minsu Ock, Marcos Arroyo, Seona Lee, Sohyeon Jeon"
1172,100%,Yacht Club Games
1173,45%,Ryan Javanshir
1174,45%,Wolfgame
1175,68%,Notorious Games
1176,46%,Huy Phan
1177,96%,NEKO WORKs
1178,89%,1C Wireless
1179,61%,Colonthree Enterprises
1180,91%,Love in Space
1181,91%,"Beyond-Limits-Games, FCG"
1182,59%,Dimmdrive Inc.
1183,62%,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev"
1184,44%,Lei
1185,93%,Snipefish Entertainment
1186,98%,"Andre Chagas Silva, Anthony Septim"
1187,44%,Snails Animation
1188,70%,"Twistplay, Rodeo Games"
1189,86%,Beldarak Games
1190,57%,Zeiva Inc
1191,63%,"Monolith Productions, Inc., Feral Interactive (Mac), Feral Interactive (Linux)"
1192,27%,First Class Simulations
1193,78%,"TT Games, Feral Interactive (Mac)"
1194,84%,"TT Games Ltd, Feral Interactive (Mac)"
1195,94%,Spiderweb Software
1196,40%,Orangepixel
1197,68%,Dovetail Games
1198,82%,Nyamyam
1199,46%,Uniworlds Game Studios
1200,66%,"Levels or Lives, Super Fun Games"
1201,92%,Shaman Games Studio
1202,40%,Dovetail Games
1203,44%,Dovetail Games
1204,83%,VR Designs
1205,30%,TiconBlu
1206,70%,Eat Create Sleep
1207,88%,Andy Wallace
1208,88%,InvertMouse
1209,100%,InvertMouse
1210,100%,"Andy Wallace, Nathaniel Chambers"
1211,49%,GTGD
1212,76%,Deck13
1213,51%,Konsordo
1214,41%,MKLab
1215,95%,Ivy Games
1216,75%,Zojoi
1217,80%,Zojoi
1218,90%,Zojoi
1219,74%,Zojoi
1220,89%,Red Dwarf Games
1221,73%,roseVeRte
1222,78%,No Bull Intentions
1223,53%,DoubleBear Productions
1224,74%,"Muzzy Lane Software, Factus Games"
1225,95%,"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd."
1226,76%,"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd."
1227,100%,"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd."
1228,96%,"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd."
1229,98%,"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd."
1230,98%,"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd."
1231,94%,Choice of Games
1232,76%,Flix Interactive
1233,87%,Zanrai Interactive
1234,15%,Rock Paper Games
1235,87%,Retrific
1236,76%,"Maxwolf, Fox"
1237,87%,Running Pillow
1238,35%,ProjectorGames
1239,79%,Bob the Game Development Bot
1240,81%,lolznoob
1241,44%,Little World Studio
1242,85%,oophok
1243,74%,MAGIX Software GmbH
1244,28%,Focus Home Interactive
1245,87%,Doyodo
1246,88%,Digital Train Model
1247,91%,Endgame Studios
1248,79%,MovingBlocks
1249,65%,Smoodlez
1250,47%,Mayhem Games USA
1251,45%,Black Lime Studio
1252,56%,2SD
1253,21%,AGO Games
1254,80%,"DM Media, Dark Computer Entertainment Ltd."
1255,53%,Mad Ram Software
1256,72%,3000AD
1257,79%,The Bitfather
1258,74%,Felix Wunderlich
1259,42%,Geek Sloth Games
1260,84%,Proton Studio Inc
1261,36%,Shifty Chair Games
1262,42%,Dennis Esie
1263,83%,Maltakreuz
1264,40%,DragonHead Studio
1265,89%,Mouldy Toof Studios
1266,94%,Mouldy Toof Studios
1267,82%,Brushfire Games
1268,45%,Hanabira
1269,60%,pheenix93
1270,95%,Yakiniku Banzai
1271,84%,"Amaranth Games, LLC"
1272,86%,Red Head Games
1273,16%,FirstForever Studios
1274,73%,DesktopPaints
1275,45%,FirstForever Studios
1276,80%,"TT Games, Feral Interactive (Mac)"
1277,53%,Pringo Dingo Games
1278,64%,Auroch Digital
1279,92%,"Dennaton Games, Dayjob Studio"
1280,60%,Rhaon Entertainment
1281,77%,Chimera Entertainment
1282,63%,Grynsoft
1283,45%,AWE Games
1284,72%,Avalanche Software
1285,72%,KnowWonder
1286,82%,Rainbow Studios
1287,92%,Page 44 Studios
1288,89%,Asobo Studio
1289,69%,Beenox
1290,95%,Barking Dog Studios
1291,51%,"Monolith Productions, Inc., Feral Interactive (Mac), Feral Interactive (Linux)"
1292,85%,Avalanche Software
1293,57%,Chocolate Liberation Front
1294,62%,"Yohan Launay, Frederic Gaillard"
1295,38%,GameUS Inc.
1296,82%,Clarus Victoria
1297,93%,OhNoo Studio
1298,50%,Simon Says: Play!
1299,100%,Ronimo Games
1300,93%,Rotateam
1301,84%,"Mario von Rickenbach, Michael Frei"
1302,79%,Graviteam
1303,52%,Black Cloud Studios
1304,91%,Tuesday Society
1305,100%,"Reflections, a Ubisoft Studio"
1306,35%,Black Cloud Studios
1307,100%,Orange_Juice
1308,100%,Might and Delight
1309,90%,Evan Tognotti
1310,81%,Headless Wizard
1311,58%,David Erosa
1312,92%,"Asteristic Game Studio, Anthony Septim"
1313,83%,Lukas Jaeckel
1314,74%,
1315,65%,Blaze Epic
1316,80%,Yokcos
1317,57%,Blaze Epic
1318,41%,Wastelands Interactive
1319,77%,Grey Dog Software
1320,75%,Grey Dog Software
1321,84%,Crian Soft
1322,75%,Clarus Victoria
1323,86%,FireFly Studios
1324,85%,[bracket]games
1325,42%,Lunar Labs
1326,76%,Owlchemy Labs
1327,73%,G5 Software
1328,62%,G5 Software
1329,52%,Arise
1330,87%,DTF games
1331,40%,CCCP
1332,63%,Stardock Entertainment
1333,42%,Tindalos Interactive
1334,76%,"Hammerware, s.r.o."
1335,44%,Talentplace
1336,81%,Burnt Fuse
1337,84%,Glass Bottom Games
1338,88%,"Fortress Forever Development Team, Trepid Studios"
1339,50%,Dancing Dragon Games
1340,95%,Kittehface Software
1341,90%,"Filip Victor, Valve"
1342,83%,Lamplight Studios
1343,66%,Timedrop Studios
1344,54%,MAGIX Software GmbH
1345,63%,Daniel Davies
1346,37%,VEAO Simulations
1347,96%,"TT Games Ltd, Feral Interactive (Mac)"
1348,78%,Croteam
1349,47%,"MicroProse Software, Inc"
1350,91%,"MicroProse Software, Inc"
1351,81%,"MicroProse Software, Inc"
1352,64%,"MicroProse Software, Inc"
1353,72%,Joycity
1354,54%,b-alive gmbh
1355,64%,b-alive gmbh
1356,62%,Reality Pump
1357,87%,Hydezeke
1358,81%,Indomitus Games
1359,90%,Hanako Games
1360,81%,Aldorlea Games
1361,85%,Littlewitch
1362,73%,"Circle Five Studios, Pub Games"
1363,84%,Erotes studio
1364,36%,UnexEvo
1365,73%,"SmiteWorks USA, LLC"
1366,61%,Aldorlea Games
1367,78%,"Silverware Games, Inc."
1368,61%,Nekomura Games
1369,54%,DIMPS
1370,72%,"Thomas Christof, Giovanni Rotondo, Thomas S."
1371,50%,Ethereal Darkness Interactive
1372,72%,Jane Rachel Whittaker
1373,80%,Acid Nerve
1374,45%,Piranha Bytes Distribution UG&amp;Co KG
1375,85%,Love in Space
1376,60%,L&amp;K Logic Korea
1377,76%,Alawar Dreamdale
1378,78%,Donut Games
1379,85%,Dovetail Games
1380,73%,Climax Studios
1381,75%,
1382,86%,White Cat
1383,87%,Nimble Tools
1384,96%,TreeFortress Games
1385,23%,Supreme Clans Entertainment
1386,92%,Magic Notion Ltd
1387,63%,Pyrodactyl
1388,58%,Bytebin
1389,91%,"Arvi Teikari, Roope Mäkinen"
1390,81%,"Arvi Teikari, Roope Mäkinen"
1391,95%,Hammerspace Games
1392,69%,
1393,80%,White Cat
1394,87%,World-Loom
1395,96%,Brace Yourself Games
1396,96%,Brace Yourself Games
1397,80%,"IF Games, Vertigo Games"
1398,72%,Totally Games
1399,77%,Totally Games
1400,71%,Lucasfim
1401,75%,Totally Games
1402,92%,Nihon Falcom
1403,93%,Vectorpark
1404,70%,Dovetail Games
1405,91%,Infinite Dreams
1406,61%,Puuba
1407,77%,Bare Mettle Entertainment
1408,85%,AMPLITUDE Studios
1409,87%,
1410,48%,Thomas Bacon
1411,58%,Craig Gibbs
1412,93%,"Crazy Monkey Studios, Claeysbrothers"
1413,87%,Red Dot Games
1414,58%,DeXP
1415,76%,GoodVole
1416,54%,Reactor Zero
1417,96%,Noumenon Games
1418,32%,Jujubee S.A.
1419,79%,"Bluehole, Inc."
1420,100%,JAM Productions
1421,60%,"Bluehole Studio, En Masse Entertainment"
1422,72%,"Bluehole Studio, En Masse Entertainment"
1423,30%,Digital Entertainment
1424,94%,J. King-Spooner
1425,62%,Pribuni
1426,75%,Celeris
1427,92%,Seaven Studio
1428,90%,RageSquid
1429,5%,ValuSoft
1430,67%,Swordtales
1431,86%,Helvetica Scenario
1432,80%,Tasharen Entertainment Inc.
1433,71%,Aerosoft GmbH
1434,79%,Team Jolly Roger
1435,93%,Emad
1436,97%,Matt Thorson
1437,95%,Lohika Games
1438,96%,07th Expansion
1439,33%,Anarchy Enterprises
1440,61%,Omega Games
1441,76%,FiolaSoft Studio
1442,97%,CD PROJEKT RED
1443,88%,"Relic Entertainment, Europe at War Development Team"
1444,75%,The Pompous Pixel
1445,33%,Omega Games
1446,96%,Grey Alien Games
1447,94%,weltenbauer. Software Entwicklung GmbH
1448,72%,Minor Key Games
1449,87%,Minor Key Games
1450,82%,Heliocentric Studios
1451,90%,
1452,83%,tjern
1453,58%,Warfare Studios
1454,31%,Freshtrax
1455,79%,Daniel Jonathan Bourke
1456,77%,Deck13
1457,45%,Random Thoughts Entertainment
1458,96%,John Cullen
1459,47%,"Axis Game Factory, Inc."
1460,61%,Artur Mandas
1461,75%,S2 Games
1462,56%,NeocoreGames
1463,81%,Andrettin
1464,74%,Forever Entertainment S. A.
1465,90%,FIVE-BN GAMES
1466,70%,Swinfjord-Games
1467,77%,Robot Gentleman
1468,53%,Warfare Studios
1469,77%,John Wizard
1470,66%,Orangepixel
1471,81%,No Pest Productions
1472,81%,No Pest Productions
1473,76%,Pieces Interactive
1474,82%,Dylan Fitterer
1475,68%,Guru Games
1476,50%,Rain Pohlak
1477,79%,Big Fat Simulations Inc.
1478,77%,Lucky Pause
1479,73%,Alan Zucconi
1480,70%,Laughing Jackal LTD
1481,73%,Bad Seed
1482,47%,BonusXP
1483,85%,Haemimont Games
1484,63%,"Diggidy.net, LLC"
1485,81%,
1486,83%,Martin Veilleux
1487,64%,Whalenought Studios
1488,68%,Dovetail Games
1489,98%,
1490,90%,Hello There AB
1491,71%,"Sports Mogul, Inc."
1492,78%,Zoo Corporation
1493,60%,"KOEI TECMO GAMES CO., LTD."
1494,70%,John Wizard
1495,67%,Giorgi Abelashvili
1496,81%,Hellscape Games
1497,46%,Z-Software GmbH
1498,35%,DiggerWorld Ltd.
1499,42%,Stamina-Games
1500,88%,Krealit
1501,79%,Splash Damage
1502,72%,777 Studios
1503,94%,CD PROJEKT RED
1504,87%,Russpuppy
1505,83%,Super Icon Ltd
1506,80%,EightyEightGames
1507,96%,Landon Podbielski
1508,80%,7 Soft Pillows
1509,68%,Tall Studios
1510,81%,Anarchy Enterprises
1511,85%,Smarter Games
1512,35%,Crispon Games
1513,97%,Alawar
1514,82%,"Bluehole Inc., En Masse Entertainment"
1515,93%,Beast Games
1516,84%,Petroglyph
1517,57%,Innomen Productions
1518,82%,Heartbit Interactive
1519,83%,"TT Games Ltd, Feral Interactive (Mac)"
1520,63%,Skinny Jean Death Studios
1521,71%,Darius Bode
1522,83%,DYA Games
1523,23%,Kobra Studio
1524,86%,Dubrovkin Sergei
1525,89%,Doomster Entertainment
1526,89%,Marcelo Barbosa
1527,64%,Zoo Corporation
1528,93%,Alabeo
1529,95%,CD PROJEKT RED
1530,97%,CD PROJEKT RED
1531,100%,Zeiva Inc
1532,70%,From Soy Sauce LLC
1533,88%,Upper Class Walrus
1534,96%,Dovetail Games
1535,91%,Giants Software
1536,59%,Diminished Studios
1537,33%,MadAboutGamesStudios
1538,84%,roseVeRte
1539,93%,Leslaw Sliwko
1540,43%,
1541,97%,FIVE-BN GAMES
1542,85%,Dingo Dango
1543,70%,Devdan Games
1544,68%,Warfare Studios
1545,60%,Digital Soul Games
1546,100%,"高考恋爱委员会, Days"
1547,54%,Serious Games Interactive
1548,95%,Playito.com
1549,97%,CD PROJEKT RED
1550,74%,Jan Zizka
1551,75%,Loomus Games
1552,43%,Frogames
1553,62%,"Bit Planet Games, LLC"
1554,93%,FireFly Studios
1555,87%,Daedalic Entertainment
1556,70%,"Sep Reds, Ageod"
1557,92%,Red Dot Games
1558,77%,"Alawar Stargaze, Alawar Entertainment"
1559,59%,"SmiteWorks USA, LLC"
1560,72%,"StartupTim, LLC, Tim Sullivan"
1561,38%,
1562,82%,Joshua Missile
1563,82%,
1564,55%,Ankama Studio
1565,96%,Peter Gutenko
1566,97%,"Maciej Targoni, Wojciech Wasiak"
1567,91%,"Psyonix, Inc."
1568,70%,Moment Studio
1569,88%,Moment Studio
1570,65%,"Bimboosoft Co.,Ltd."
1571,70%,"Arc System Works, DotEmu"
1572,58%,
1573,92%,Rogue Rocket Games
1574,60%,Childish Things
1575,72%,First Class Simulations
1576,55%,yayapipi
1577,44%,"Codemasters, Feral Interactive (Linux)"
1578,50%,momoStorm Entertainment
1579,66%,Absolutist Ltd.
1580,97%,NotGames
1581,61%,Gateway Interactive
1582,56%,Blossom Games
1583,69%,Black Shell Games
1584,100%,Wickworks
1585,56%,Paradox Development Studio
1586,73%,Gambrinous
1587,93%,GATO STUDIO
1588,96%,FIVE-BN GAMES
1589,33%,WnMStudio
1590,63%,Eclipse Games
1591,74%,"Toyman Interactive, Alawar Entertainment"
1592,51%,Bit Juggler
1593,52%,Oryon Entertainment
1594,83%,tinyBuild
1595,68%,Proper Games
1596,92%,RuneStorm
1597,74%,Scary Bee LLC
1598,80%,Wacha
1599,78%,Day Dreamer Games
1600,73%,"CorypheeSoft, DigitalEZ"
1601,51%,"Mighty Rabbit Studios, Gun Media"
1602,79%,Nexon
1603,55%,Nexon
1604,83%,SIM720
1605,84%,Haemimont Games
1606,78%,ACQUIRE Corp.
1607,89%,Haemimont Games
1608,92%,Scott Cawthon
1609,31%,yfyx games
1610,78%,Satur Entertainment
1611,88%,Haemimont Games
1612,70%,Flying Cafe for Semianimals
1613,72%,Flying Cafe for Semianimals
1614,27%,Maxim Moore
1615,91%,Big Fat Simulations Inc.
1616,75%,A Crowd of Monsters
1617,91%,Kronosaur Productions
1618,67%,"Infogrames Entertainment SA, Gremlin Interactive"
1619,94%,Subworld
1620,89%,SCS Software
1621,92%,Lag Studios
1622,64%,Size Five Games
1623,58%,"Argonauts Interactive, Collectif Nemoïd"
1624,76%,Puny Human
1625,77%,"A Sharp, LLC"
1626,81%,"Upper One Games, E-Line Media"
1627,68%,Goatee Games
1628,95%,Vision Riders Entertainment
1629,84%,Denneko Yuugi
1630,80%,Sunside Inc
1631,91%,weltenbauer. Software Entwicklung GmbH
1632,90%,Radiangames
1633,90%,"Funselektor Labs Inc., FlippFly"
1634,76%,Rainbow Games
1635,62%,La Moustache Studio
1636,81%,Freakinware Studios
1637,30%,Game Studio 78
1638,70%,Stainless Games Ltd.
1639,25%,GDNomad
1640,86%,InvertMouse
1641,84%,InvertMouse
1642,69%,Vertigo Games
1643,75%,WRF Studios
1644,79%,David Szymanski
1645,73%,Q-Games Ltd.
1646,100%,Adam Tarnowski
1647,91%,"wefiends, Inc."
1648,58%,Dust Scratch Games
1649,78%,Nicholas Mallory
1650,63%,Iris Flight Simulation Software
1651,49%,"Silverlode Interactive, Wasatch Games"
1652,49%,"Deceptive Games, Gavin Powell"
1653,90%,Atomic Planet
1654,87%,Dead Mage
1655,51%,iosoftware
1656,94%,Orange_Juice
1657,59%,Yeti Trunk
1658,48%,Adam DeLease
1659,87%,Roll7
1660,74%,"Tiger and Squid, Team17 Digital Ltd"
1661,80%,"Colin Sanders, Jason RT Bond"
1662,27%,TernGame
1663,92%,1C Company
1664,58%,Serious Games Interactive
1665,91%,Cranktrain
1666,84%,Faris Mohammed
1667,75%,rdt.32
1668,81%,Erwin Wolf
1669,33%,Michael Flynn
1670,94%,AuraLab
1671,82%,Bithell Games
1672,78%,Marxnet
1673,75%,"Edmund McMillen, James Id"
1674,35%,Icehole Games
1675,94%,Rogue Snail
1676,57%,Tribute Games Inc.
1677,79%,Planetary Annihilation Inc
1678,89%,Red Dot Games
1679,76%,Astronomic Games
1680,83%,Critical Bit
1681,36%,Blue Byte
1682,21%,Narrow Monolith
1683,88%,Shorebound Studios
1684,60%,Frozen District
1685,86%,Citeremis Inc.
1686,78%,FuturLab
1687,93%,Bulbware
1688,68%,Flump Studios
1689,83%,Choice of Games
1690,54%,"Autobotika, Game Nation Inc"
1691,45%,
1692,50%,"Overcloud9, Phantasm Games"
1693,43%,SFS Studios
1694,87%,Burut CT
1695,68%,Leadwerks Software
1696,89%,Sonic Sloth
1697,93%,
1698,75%,Zoo Corporation
1699,79%,Capcom
1700,86%,Dingaling
1701,25%,Gameware Studios
1702,76%,Obsidian Entertainment
1703,96%,Might and Delight
1704,88%,Shiro Games
1705,78%,Funktronic Labs
1706,40%,Lightning Man Media
1707,81%,Neon Deity Games
1708,51%,SimProse Studios
1709,78%,Confused Genius
1710,17%,DL Softworks
1711,85%,"INTI CREATES CO., LTD."
1712,91%,"Jurlo, JetPackGone"
1713,100%,"INTI CREATES CO., LTD."
1714,73%,Labyrinthine
1715,81%,Enitvare
1716,35%,Warfare Studios
1717,71%,TechSmith Corporation
1718,57%,Vladimir Kudelka
1719,80%,FNGames
1720,56%,From Soy Sauce LLC
1721,39%,Yanim Studio
